,language,coronal,elevation
aari1239,Aari,15,1513
abar1238,Mungbam,11,777
abid1235,Abidji,9,96
abua1244,Abua,10,10
abur1243,Abure,8,4
ache1245,Acheron,10,927
acol1236,Acoli,9,867
adam1253,Adamawa Fulfulde,30,370
adio1239,Adioukrou,9,68
afar1241,Afar,7,323
afit1238,Afitti,9,568
afri1274,Afrikaans,6,581
aghe1239,Aghem,11,1047
ahan1243,Ahanta,13,37
ahan1244,Àhàn,12,302
ajas1235,Aja (Sudan),19,609
akan1250,Akan,17,166
akas1242,Akaselem,8,319
akoo1248,Akoose,9,859
akpe1248,Akpes,9,294
alab1254,Alaba-K'abeena,28,2073
alla1248,Alladian,11,14
ambo1250,Ambonese Malay,9,176
anfi1235,Anfillo,18,1472
ango1258,Angolar,12,104
anii1245,Anii,10,395
anuf1239,Anufo,18,137
anyi1244,Anyin Morofo,13,79
anyi1245,Anyin,23,181
arbo1245,Arbore,27,504
argo1244,Argobba,14,2752
arin1244,Aringa,16,870
ashe1269,Ashe,11,667
atti1239,Attié,12,72
avat1244,Avatime,9,171
avik1243,Avikam,12,11
awng1244,Awngi,13,2024
ayer1245,Ayere,12,396
bade1248,Bade,16,341
bady1239,Jaad-Badyara,12,62
bafa1249,Bafanji,11,1171
bafi1243,Bafia,22,577
bagi1246,Bagirmi,15,302
baka1272,Baka (Cameroon),10,548
baka1273,Bakaka,22,517
baka1274,Baka (Sudan),16,885
bala1302,Balanta-Ganja,15,21
bali1278,Balinese,9,1283
bamb1262,Bambassi,11,1454
bamb1269,Bambara,12,386
bana1305,Bana,13,851
band1353,Banda Malay,9,260
bank1256,Bankon,11,84
bare1279,Barain,56,395
bass1260,Bassossi,8,325
bata1293,Batak Karo,8,7
bela1255,Belanda Viri,14,501
bela1256,Belanda Bor,13,514
bela1260,Lemeting,8,18
bena1262,Bena (Tanzania),9,1738
benc1235,Bench,43,2236
biak1248,Biak,5,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,8,15
bila1255,Bila,8,788
bili1260,Bilin,12,1678
bomi1238,Bomitaba,5,316
bora1271,Borana-Arsi-Guji Oromo,14,733
boun1243,Bouna Kulango,11,251
buam1238,Buamu,8,319
budu1250,Budu,11,778
bugi1244,Buginese,9,62
buli1254,Buli (Ghana),10,204
bumm1238,Bum,20,1322
buol1237,Buol,7,134
burj1242,Burji,15,1406
buru1301,Burun,10,575
busa1253,Busa,5,243
buwa1243,Buwal,14,600
came1252,Donga Mambila,8,781
ceba1235,Cebaara Senoufo,22,390
cebu1242,Cebuano,8,372
cent2087,Coastal-Naga Bikol,12,182
cent2194,Central Moroccan Berber,17,1354
cher1271,Cherepon,11,201
chon1287,Chonyi-Dzihana-Kauma,20,65
dagi1241,Dagik,8,454
dann1241,Dan,18,324
defa1248,Defaka,6,6
dege1246,Degema,9,1
dghw1239,Dghwede,14,606
dibo1245,Dibole,10,321
didi1258,Didinga,21,1818
digo1243,Digo,21,19
dime1235,Dime,26,1906
diri1252,Diriku,10,1093
domp1238,Dompo,11,228
duru1249,Duruma,20,221
dzuu1241,Dzùùngoo,12,376
east2440,East Makian,8,308
east2563,Eastern Cham,10,24
east2652,Eastern Oromo,28,1408
ejag1239,Ejagham,8,220
eloy1241,Eloyi,13,126
eten1239,Eten,32,1256
eton1253,Eton-Mengisa,9,516
fali1285,Fali,20,776
fang1248,Fang (Cameroon),10,749
fern1234,Pichi,9,66
fipa1238,Fipa,10,1821
food1238,Foodo,9,375
fuli1240,Fuliiru,12,1629
gaaa1245,Gaa,8,545
gaam1241,Gaam,20,898
gagu1242,Gban,8,166
gamo1243,Gamo,14,1077
gava1241,Gavar,19,622
gbay1281,Gbaya-Mbodomo,11,697
gbes1238,Gbesi Gbe,12,62
ghom1247,Ghomálá',16,1552
giky1238,Gikyode,11,257
giny1241,Ginyanga,13,306
giry1241,Giryama,80,122
glav1244,Glavda,21,410
gude1246,Gude,13,874
guin1254,Guinea Kpelle,6,446
gumu1244,Northern Gumuz,19,837
guro1248,Guro,11,276
gwan1268,Gwandara,73,748
gwen1239,Gweno,10,1062
hadi1240,Hadiyya,24,2166
haio1238,Hai//om,9,1418
hang1260,Hangaza,12,1353
hara1271,Harari,13,1841
hdii1240,Hdi,17,588
heib1243,Ebang,14,835
here1253,Herero,11,1144
hili1240,Hiligaynon,8,74
holo1240,Holoholo,7,798
huaa1248,East Taa,27,1127
huba1236,Huba,12,541
idom1241,Idoma,18,236
igoo1238,Igo,10,722
ikwe1242,Ikwere,8,24
ilok1237,Iloko,7,287
indo1316,Indonesian,11,556
inor1238,Inor,42,2043
irig1241,Irigwe,38,1082
iyiv1238,Iyive,25,380
izer1241,Izere,13,1041
jams1239,Jamsay Dogon,17,280
java1254,Javanese,13,112
jere1244,Jere,12,876
jita1239,Jita,9,1286
jola1262,Jola-Esulalu,16,18
jowu1238,Jowulu,9,512
jumj1238,Jumjum,10,487
kabu1256,Kabuverdianu,13,467
kagf1238,Ut-Main,16,323
kagu1239,Kagulu,12,1176
kahe1238,Kahe,10,707
kaka1265,Kakabe,11,996
kako1242,Kako,13,594
kamb1297,Kamba (Kenya),6,971
kamb1299,Kambera,8,325
kamb1316,Kambaata,29,2120
kamw1239,Kamwe,12,576
kang1288,Kanga,60,473
kara1483,Karamojong,11,1142
kare1338,Kare (Central African Republic),11,997
katc1249,Katcha-Kadugli-Miri,62,473
keig1242,Keiga,21,511
kele1255,Kele-Foma,7,424
keli1248,Keliko,16,1167
keme1240,Kemezung,8,910
kete1252,Kete,7,889
kgal1244,Kgalagadi,27,1046
kima1244,Kimaragang,8,258
kips1239,Kipsigis,8,1984
kisa1263,Kisa,12,1434
kist1241,Kistane,13,2644
kitu1246,Kituba (Democratic Republic of Congo),6,342
koal1240,Koalib-Rere,15,732
kofy1242,Pan,12,242
komo1258,Komo (Sudan),10,767
konk1269,Konkomba,8,149
koor1239,Koorete,30,2321
kosh1246,Koshin,13,812
kota1272,Kotafon Gbe,12,60
koya1253,Koyaga,12,365
koyr1240,Koyra Chiini Songhay,10,264
koyr1242,Koyraboro Senni Songhai,12,261
krac1238,Krache,8,132
krim1238,Krim,11,16
krio1253,Krio,12,11
kron1241,Krongo,20,453
kuan1247,Kuanyama,13,1128
kung1261,North-Central Ju,21,1653
kuny1238,Kunyi,23,159
kuoo1238,Kuo,10,568
kupa1239,Kupang Malay,9,369
kura1250,Kuranko,10,474
kuwa1246,Kuwaataay,10,5
kwam1249,Kwama,9,1286
kwam1250,Kwami,12,708
kwam1251,Kwambi,16,1091
kwan1273,Kwangali,10,1124
kwan1276,Kwanja,8,1014
kway1241,Kwaya,8,1152
kwes1244,Kwese,7,795
kyen1242,Kyenga,8,203
lagw1237,Lagwan,15,300
lama1288,Lamang,15,1015
lang1322,Lango (Sudan),8,776
lang1324,Lango (Uganda),10,1052
lara1260,Larantuka Malay,9,757
lega1249,Lega-Shabunda,10,633
legb1242,Legbo,15,29
lele1266,Lele (Guinea),8,925
lele1276,Lele (Chad),9,399
leng1258,Lengola,10,468
lese1243,Lese,14,973
leti1246,Leti (Indonesia),6,252
libe1240,Kru Pidgin English,12,42
lika1243,Liko,17,763
limb1268,Limbum,40,1057
logb1245,Logba,11,157
logo1259,Logo,14,901
loma1260,Loma (Liberia),6,474
long1387,Longto,8,441
lumu1239,Lumun,9,728
luwo1239,Luwo,11,496
maay1238,Maay,11,496
maba1273,Mabaan,10,428
mach1266,Machame,18,1072
mada1282,Mada (Nigeria),10,470
maka1311,Makasar,9,0
mala1481,Manado Malay,9,41
mamb1296,Mambwe-Lungu,9,1249
mamp1244,Mampruli,10,152
mann1248,Mann,7,244
many1261,Manya,8,568
masa1299,Masaaba,24,1666
matu1259,Matumbi,8,257
mawa1270,Mawa (Chad),11,544
mayo1261,Mayogo,14,760
mbal1255,Mbalanhu,12,1310
mbay1241,Mbay,11,460
mbee1249,Mbe,12,124
mbee1250,Mbe',24,754
mboc1235,Mbo (Cameroon),20,835
mbuk1240,Mbukushu,11,1010
mbuk1243,Mbuko,14,480
mbuu1238,Ajumbu,13,771
meen1242,Me'en,14,1009
mere1246,Merey,14,787
meru1245,Meru,8,1254
mesq1240,Mesqan,13,2134
mfum1238,Southern Mfumte,22,662
mina1268,Minangkabau,11,10
mmaa1238,Mmaala,9,484
moch1256,Mochi,10,892
mofu1248,Mofu-Gudur,14,730
moke1242,Moken,9,0
mokl1243,Moklen,8,17
mokp1239,Mokpwe,8,2301
molo1266,Moloko,14,454
mong1338,Mongo,19,381
mono1269,Mono (Cameroon),13,233
mori1268,Mori Bawah,9,541
mori1278,Morisyen,10,464
moro1284,Morokodo,22,574
moru1253,Moru,13,651
mpad1242,Mpade,14,290
mund1325,Mundang,15,390
mund1328,Mundabli,11,730
muya1243,Muyang,14,410
mwal1237,Mwali Comorian,9,257
mwan1247,Mwani,11,18
myen1241,Myene,14,26
nari1240,Narim,10,578
nate1242,Nateni,5,454
nawu1242,Nawuri,11,120
ncan1245,Ncane,9,960
ndai1238,Ndai,13,636
ndal1241,Ndali,7,1134
ndam1239,Ndamba,7,280
ndog1248,Ndogo,13,460
ndon1254,Ndonga,66,1095
ndzw1235,Ndzwani Comorian,19,547
ngan1300,Ngandyera,19,1079
ngas1238,Ngasa,11,1807
ngaz1238,Ngazidja Comorian,24,475
ngie1241,Ngiemboon,6,1797
ngit1239,Ngiti,22,1617
ngom1272,Ngomba,6,1454
ngwe1238,Ngwe,10,992
nias1242,Nias,7,0
niel1243,Niellim,12,358
nige1253,Hausa States Fulfulde,35,363
njeb1242,Njebi,11,728
njye1238,Njyem,9,595
nkon1248,Nkonya,10,95
nort2795,Zimbabwean Ndebele,25,1179
nort2819,Northern Bobo Madaré,7,467
nort2828,North Moluccan Malay,10,79
nort3047,North Giziga,14,488
ntch1242,Ntcham,16,243
ntom1248,Ntomba,10,292
nucl1440,Masalit,13,815
nucl1460,Madurese,14,108
nucl1683,Daba,14,813
nucl1696,Tangale,22,565
nuer1246,Nuer,10,409
nugu1242,Nugunu (Cameroon),10,481
nyam1277,Nyambo,9,1513
nyam1285,Nyam,15,244
nyol1238,Nyole,11,1066
nzim1238,Nzima,13,19
olub1238,Olu'bo,16,721
opuu1239,T'apo,10,419
orma1241,Orma,12,141
otor1240,Otoro,17,752
otuh1238,Otuho,14,809
palo1243,Palor,13,100
pamp1243,Pampanga,8,29
pang1287,Pangwa,11,1313
pang1290,Pangasinan,7,15
pero1241,Pero,8,319
piny1238,Pinyin,23,1841
poko1263,Pökoot,8,1866
prin1242,Principense,11,469
reel1238,Reel,11,431
reun1238,Réunion Creole French,13,1722
rong1268,Ronga,36,69
saam1283,Saamia,9,1194
sand1273,Sandawe,15,1208
saot1239,Sãotomense,10,1073
saxw1241,Saxwe Gbe,10,76
saya1246,Saya,21,596
seba1251,Sebat Bet Gurage,38,2272
sekp1241,Sekpele,9,301
sele1249,Selee,6,364
shan1282,Shanga,8,156
sher1258,Sherbro,12,13
shil1265,Shilluk,13,399
shwa1239,Shwai,14,721
siam1242,Siamou,10,542
silt1240,Silt'e,28,2047
siwi1239,Siwi,12,-7
siwu1238,Siwu,9,234
soni1259,Soninke,12,157
sooo1256,Soo,9,1901
sout2790,Southern Birifor,9,218
sout2795,Southern Nuni,18,327
sout2828,Southern Ma'di,22,659
sout2833,South Central Dinka,10,432
sout2918,Southern Sama,7,21
suba1252,Suba-Simbiti,11,1294
suga1248,Nizaa,30,1263
suku1261,Sukuma,19,1166
sumb1240,Sumbwa,9,1204
tach1250,Tachelhit,15,904
tada1238,Tadaksahak,35,313
taga1270,Tagalog,8,93
teee1242,Tee,10,25
teng1272,Tengger,10,1226
tese1238,Tese,14,618
tetu1245,Tetum,6,317
tiag1235,Tiagbamrin Aizi,11,17
tiey1235,Tiéyaxo Bozo,8,275
tigo1236,Tigon Mbembe,41,255
tigr1271,Tigrinya,15,2332
tira1254,Tira,17,638
tivv1240,Tiv,14,208
toch1257,Tocho,8,661
tong1318,Tonga (Zambia),16,944
tour1242,Toura (Côte d'Ivoire),6,546
tsam1247,Tsamai,26,741
tsot1241,Tsotso,11,1459
tsuv1239,Tsuvadi,14,257
tuki1240,Tuki,10,581
tuli1249,Tulishi,20,623
tumt1243,Tumtum,22,487
tune1261,Tunen,7,708
tuni1251,Tunia,13,364
tupu1244,Tupuri,12,353
uduk1239,Uduk,11,862
umbu1257,Umbundu,7,1239
uppe1455,Upper Guinea Crioulo,13,44
vame1236,Vame,19,412
wand1278,Wandala,23,339
wawa1246,Wawa,10,1214
wehh1238,Weh,18,1065
west2456,Western Xwla Gbe,12,5
west2458,West Central Banda,14,637
wola1242,Wolaytta,19,1324
wong1247,Wongo,7,483
wuzl1236,Wuzlam,14,535
xamt1239,Xamtanga,10,2165
xhos1239,Xhosa,31,1748
xwel1235,Xwela Gbe,12,32
yala1263,Yala,10,65
yans1239,Yansi,7,355
yaoo1241,Yao,8,1194
yemb1246,Yemba,6,1324
yems1235,Yemsa,13,2227
zagh1240,Beria,10,978
zayy1238,Zay,13,1636
zinz1238,Zinza,10,1338
