,language,spreadGlottis,elevation
adze1240,Adzera,5,207
ainu1240,Hokkaido Ainu,1,216
akan1250,Akan,7,166
alab1237,Alabama,1,89
aleu1260,Aleut,2,82
amah1246,Amahuaca,1,429
amha1245,Amharic,2,3440
apin1244,Apinayé,1,229
asha1243,Asháninka,1,497
bata1289,Batak Toba,1,948
beem1239,Beembe,6,358
beng1280,Bengali,16,8
bouy1240,Bouyei,5,774
bret1244,Breton,4,143
bulg1262,Bulgarian,6,98
buru1296,Burushaski,9,3309
cent1973,Central Pashto,1,1057
cent1989,Central Khmer,5,26
cent2050,Central Kanuri,1,314
cent2144,Central Mazahua,9,2941
chac1249,Cha'palaa,1,122
chac1251,Chácobo,1,185
cham1312,Chamorro,2,69
chip1261,Chipewyan,4,258
chiq1250,Chiquihuitlán Mazatec,1,1897
copa1236,Copainalá Zoque,2,526
egyp1253,Egyptian Arabic,2,6
ewee1241,Ewe,3,114
finn1318,Finnish,1,66
gaaa1244,Ga,5,94
gali1262,Galibi Carib,1,6
garo1247,Garo,4,114
gbay1287,Gbaya-Bossangoa,1,476
gily1242,Nivkh,6,365
hakk1236,Hakka Chinese,5,365
halh1238,Halh Mongolian,5,1305
haus1257,Hausa,1,600
hawa1245,Hawaiian,1,2020
hebr1245,Modern Hebrew,1,515
hind1269,Hindi,25,416
hopi1249,Hopi,2,1713
hung1274,Hungarian,2,110
hupa1239,Hupa,8,123
iaai1238,Iaai,2,21
icel1247,Icelandic,5,0
igna1246,Ignaciano,1,159
iraq1241,Iraqw,1,1767
iris1253,Irish,7,88
isla1278,Island Carib,1,758
iton1250,Itonama,1,169
iumi1238,Iu Mien,7,1299
jaqa1244,Jaqaru,8,2766
java1254,Javanese,6,112
kaba1278,Kabardian,5,1234
kala1399,Kalaallisut,1,0
karo1304,Karok,1,676
kash1277,Kashmiri,7,1623
kett1243,Ket,1,176
khan1273,Kazym-Berezover-Suryskarer Khanty,2,54
khar1287,Kharia,11,376
khas1269,Khasi,4,38
kirg1245,Kirghiz,3,3699
kore1280,Korean,5,154
kota1263,Kota (India),6,1456
koyr1242,Koyraboro Senni Songhai,1,261
kunj1245,Kunjen,5,162
kuru1302,Kurukh,11,284
kwak1269,Kwak'wala,8,112
kwom1262,Kwoma,1,31
lahu1253,Lahu,6,1476
lakk1238,Lakkia,8,767
lakk1252,Lak,11,2018
lako1247,Lakota,5,834
lugb1240,Lugbara,1,1225
luis1253,Luiseno,3,742
luok1236,Luo (Kenya and Tanzania),6,1467
luva1239,Luvale,1,1078
mand1415,Mandarin Chinese,6,88
maor1246,Maori,1,451
mezq1235,Mezquital Otomi,5,2391
moro1292,Moroccan Arabic,2,352
mund1320,Mundari,11,50
nava1243,Navajo,7,2140
nezp1238,Nez Perce,1,1041
ngas1240,Ngas,6,1130
nobi1240,Nobiin,1,277
nort2697,North Azerbaijani,5,276
nort2938,Northern Haida,9,80
nort2952,Northeast Maidu,5,1271
norw1259,Norwegian Bokmål,5,20
nucl1235,Eastern Armenian,6,1912
nucl1301,Turkish,6,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,7,711
nucl1417,Igbo,15,8
nucl1632,Sentani,1,74
nucl1643,Japanese,1,127
nuuc1236,Nuu-chah-nulth,1,614
nyis1236,Nyishi-Hill Miri,1,996
ocai1244,Ocaina,1,114
onei1249,Oneida,1,375
paez1247,Páez,1,3472
panj1256,Eastern Panjabi,11,227
papa1238,Papantla Totonac,1,89
plat1254,Plateau Malagasy,1,1653
pure1242,Purepecha,6,2340
roma1327,Romanian,1,348
saba1265,Sa'ban,1,1002
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,5,1287
sele1250,Selepet,4,759
sene1264,Seneca,1,427
sgaw1245,S'gaw Karen,7,246
sinh1246,Sinhala,1,51
siri1273,Sirionó,1,182
soma1255,Somali,3,211
sout2961,Southern Tiwa,3,1532
sout2982,Southeastern Pomo,1,439
sout2991,South Bolivian Quechua,6,4156
squa1248,Squamish,1,50
stan1290,French,1,124
stan1293,English,5,22
stan1295,German,4,368
stan1306,Standard Malay,1,54
stra1244,Northern Straits Salish,1,490
sund1252,Sundanese,1,493
swah1253,Swahili,5,200
taba1266,Tabasco Chontal,1,3
taga1270,Tagalog,1,93
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,1,408
tele1256,Telefol,1,2130
telu1262,Telugu,8,440
tewa1260,Rio Grande Tewa,2,1687
thai1261,Thai,5,3
tigr1270,Tigre,4,2112
toho1245,Tohono O'odham,1,640
tolo1259,Tolowa-Chetco,3,81
tosk1239,Northern Tosk Albanian,1,88
tuni1252,Tunica,5,40
tzel1254,Tzeltal,2,2091
unam1242,Unami,2,415
viet1252,Vietnamese,3,8
waim1255,Waimaha,1,167
wapi1253,Wapishana,5,130
wayu1243,Wayuu,1,37
west2369,Western Farsi,4,2174
west2650,Western Cham,6,35
wich1260,Wichita,5,390
wuch1236,Wu Chinese,9,205
yane1238,Yanesha',4,2474
yuch1247,Yuchi,6,247
yuec1235,Yue Chinese,6,-3
zulu1248,Zulu,5,537
zuni1245,Zuni,9,2210
0,Atayal,0,1882
1,Antakarinya,0,178
2,Nyangumarta,0,260
3,Maranunggu,0,23
4,Mawng,0,28
5,Wubuy,0,6
6,Alawa,0,147
7,Wik-Mungkan,0,32
8,Tamnim Citak,0,19
9,Gadsup,0,1311
10,Awiyaana,0,1917
11,Kunimaipa,0,1857
12,Naasioi,0,1855
13,Eastern Ojibwa,0,213
14,Tipai,0,297
15,Mapudungun,0,1538
16,Shuar,0,1256
17,Ticuna,0,150
18,Paraguayan Guaraní,0,184
19,Marghi Central,0,426
20,Awngi,0,2024
21,Maltese,0,44
23,Liberia Kpelle,0,285
24,Wolof,0,53
25,Dagbani,0,181
26,Masai,0,1187
27,Portuguese,0,445
28,Spanish,0,1202
29,Russian,0,185
30,Lithuanian,0,54
31,Modern Greek,0,190
32,Basque,0,362
33,Eastern Mari,0,45
34,Komi-Zyrian,0,125
35,Tundra Nenets,0,0
36,Chuvash,0,95
37,Sakha,0,875
38,Even,0,0
39,Northern Yukaghir,0,0
40,Chukchi,0,0
